,0
Title,Risks of failure of annealed glass panels subject to point contact actions 
DOI,doi:10.1016/j.ijsolstr.2017.09.001
Authors,"['Pathirana, Mahil', 'Lam, Nelson', 'Perera, Shihara', 'Zhang, Lihai', 'Ruan, Dong', 'Gad, Emad']"
Url,https://www.sciencedirect.com/science/article/pii/S0020768317304067
Keywords,"['Glass strength', 'Loading rate', 'Probabilistic', 'Simulation model', 'Fracture origin']"
PubName,International Journal of Solids and Structures
Open Acess,true
Date,2017-09-05
