,0
Title,Lithium diffusion coefficient in amorphous lithium phosphate thin films measured by secondary ion mass spectroscopy with isotope exchange methods 
DOI,doi:10.1016/j.ssi.2016.06.015
Authors,"['Kuwata, Naoaki', 'Lu, Xiaoli', 'Miyazaki, Takamichi', 'Iwai, Yoshiki', 'Tanabe, Tadao', 'Kawamura, Junichi']"
Url,https://www.sciencedirect.com/science/article/pii/S0167273816302958
Keywords,"['Diffusion coefficient', 'Thin-film battery', 'Pulsed laser deposition', 'Haven ratio']"
PubName,Solid State Ionics
Open Acess,true
Date,2016-07-18
