,0
Title,Crystal growth  spectroscopic  second and third order nonlinear optical spectroscopic studies of L-phenylalanine doped ammonium dihydrogen phosphate single crystals 
DOI,doi:10.1016/j.arabjc.2020.01.024
Authors,"['Joshi, J.H.', 'Kalainathan, S.', 'Joshi, M.J.', 'Parikh, K.D.']"
Url,https://www.sciencedirect.com/science/article/pii/S1878535220300368
Keywords,"['ADP', 'UV–Visible spectroscopy', 'Photoconductivity', 'SHG', 'Z-scan']"
PubName,Arabian Journal of Chemistry
Open Acess,true
Date,2020-02-06
