,0
Title,Formation  structure and properties of fluoro-sulfo-phosphate poly-anionic glasses 
DOI,doi:10.1016/j.jnoncrysol.2017.09.043
Authors,"['Le, Quyen Huyen', 'Palenta, Theresia', 'Benzine, Omar', 'Griebenow, Kristin', 'Limbach, Rene', 'Kamitsos, Efstratios I.', 'Wondraczek, Lothar']"
Url,https://www.sciencedirect.com/science/article/pii/S0022309317304921
Keywords,"['Phosphate', 'Sulphate', 'Fluoride', 'Multi-anion', 'Anion mixing']"
PubName,Journal of Non-Crystalline Solids
Open Acess,true
Date,2017-10-01
