,0
Title,Biosilicate® — A multipurpose  highly bioactive glass-ceramic. In vitro  in vivo and clinical trials 
DOI,doi:10.1016/j.jnoncrysol.2015.03.022
Authors,"['Crovace, Murilo C.', 'Souza, Marina T.', 'Chinaglia, Clever R.', 'Peitl, Oscar', 'Zanotto, Edgar D.']"
Url,https://www.sciencedirect.com/science/article/pii/S0022309315001271
Keywords,"['Bioactive', 'Glass', 'Glass-ceramic', 'In vivo', 'In vitro', 'Clinical trial', 'Biosilicate']"
PubName,Journal of Non-Crystalline Solids
Open Acess,true
Date,2015-04-07
