,0
Title,Review on the structural analysis of fluoride-phosphate and fluoro-phosphate glasses 
DOI,doi:10.1016/j.nocx.2019.100026
Authors,"['Möncke, Doris', 'Eckert, Hellmut']"
Url,https://www.sciencedirect.com/science/article/pii/S2590159119300391
Keywords,"['Fluoride phosphate and fluoro-phosphate glasses', 'Analysis', 'NMR spectroscopy', 'ESR spectroscopy', 'Raman and IR', 'Spectroscopy', 'Structure']"
PubName,Journal of Non-Crystalline Solids: X
Open Acess,true
Date,2019-06-15
