,0
Title,Delamination properties of laminated glass windows subject to blast loading 
DOI,doi:10.1016/j.ijimpeng.2016.05.015
Authors,"['Del Linz, Paolo', 'Hooper, Paul A.', 'Arora, Hari', 'Wang, Yi', 'Smith, David', 'Blackman, Bamber R.K.', 'Dear, John P.']"
Url,https://www.sciencedirect.com/science/article/pii/S0734743X16303049
Keywords,"['Blast', 'Laminated glass', 'Delamination', 'Viscoelasticity', 'Numerical simulations']"
PubName,International Journal of Impact Engineering
Open Acess,true
Date,2016-05-27
