,0
Title,Ag nanoparticles localised surface plasmon field regulated spectral characteristics of Ho3+-doped phosphate-based glass-ceramic 
DOI,doi:10.1016/j.rinp.2020.103102
Authors,"['Alqarni, Areej S.', 'Hussin, R.', 'Alamri, S.N.', 'Ghoshal, S.K.']"
Url,https://www.sciencedirect.com/science/article/pii/S2211379720304551
Keywords,"['Holmium ion', 'Glass-ceramics', 'Ag NPs', 'Absorption', 'Stimulated emission cross-section', 'Non-radiative decay']"
PubName,Results in Physics
Open Acess,true
