,0
Title,The mechanical response of cold bent monolithic glass plates during the bending process 
DOI,doi:10.1016/j.engstruct.2016.03.019
Authors,"['Datsiou, Kyriaki Corinna', 'Overend, Mauro']"
Url,https://www.sciencedirect.com/science/article/pii/S0141029616300396
Keywords,"['Cold bending', 'Monolithic curved glass', 'Anticlastic surface', 'Optical quality', 'Cold bending distortion', 'Plate instability', 'Snap-through buckling']"
PubName,Engineering Structures
Open Acess,true
Date,2016-03-28
